Instance File,Number of Nodes,Number of Edges,Expected K,K,Execution Time,Solution found,Notes,Iterations
anna,138,986,11,11.0,0.03380000000000001,True,,10
david,87,812,11,11.0,0.0096,True,,10
fpsol2.i.1,496,11654,65,65.0,1.5773,True,,10
fpsol2.i.2,451,8691,30,30.0,1.1562,True,,10
fpsol2.i.3,425,8688,30,30.0,0.9856999999999999,True,,10
games120,120,1276,9,9.0,0.022999999999999996,True,,10
homer,561,3258,13,13.0,2.1709,True,,10
huck,74,602,11,11.0,0.0059,True,,10
inithx.i.1,864,18707,54,54.0,8.062999999999999,True,,10
inithx.i.2,645,13979,31,31.0,3.3651999999999993,True,,10
inithx.i.3,621,13969,31,31.0,3.0265,True,,10
jean,80,508,10,10.0,0.007200000000000001,True,,10
le450_15b,450,8169,15,16.0,1.1738,False,,10
le450_15c,450,16680,15,23.0,1.3454999999999997,False,,10
le450_15d,450,16750,15,24.0,1.353,False,,10
le450_25a,450,8263,25,25.0,1.1645999999999996,True,,10
le450_25b,450,8263,25,25.0,1.1627000000000003,True,,10
le450_25c,450,17343,25,29.0,1.3427,False,,10
le450_25d,450,17425,25,28.0,1.3412,False,,10
le450_5a,450,5714,5,10.0,1.1768,False,,10
le450_5b,450,9803,5,10.0,1.2523000000000002,False,,10
le450_5c,450,9803,5,10.0,1.2565,False,,10
le450_5d,450,9757,5,12.0,1.2608000000000001,False,,10
miles1000,128,6432,42,42.0,0.03799999999999999,True,,10
miles1500,128,10396,73,73.0,0.0498,True,,10
miles250,128,774,8,8.0,0.0258,True,,10
miles500,128,2340,20,20.0,0.0284,True,,10
miles750,128,4226,31,31.0,0.031900000000000005,True,,10
myciel3,11,20,4,4.0,0.0001,True,,10
myciel4,23,71,5,5.0,0.0006000000000000001,True,,10
myciel5,47,236,6,6.0,0.0022000000000000006,True,,10
myciel6,95,755,7,7.0,0.014800000000000002,True,,10
myciel7,191,2360,8,8.0,0.10029999999999999,True,,10
queen11_11,121,3960,11,15.0,0.03130000000000001,False,,10
queen13_13,169,6656,13,17.0,0.0764,False,,10
queen5_5,25,320,5,5.0,0.0005,True,,10
queen6_6,36,580,7,9.0,0.0019000000000000002,False,,10
queen7_7,49,952,7,11.0,0.0028999999999999994,False,,10
queen8_12,96,2736,12,14.0,0.016300000000000002,False,,10
queen8_8,64,1456,9,12.0,0.0055,False,,10
queen9_9,81,2112,10,13.0,0.010099999999999998,False,,10
zeroin.i.1,211,4100,49,49.0,0.127,True,,10
zeroin.i.2,211,3541,30,30.0,0.1259,True,,10
zeroin.i.3,206,3540,30,30.0,0.11989999999999998,True,,10
